postal_code, district_code
1010,901
1020,902
1030,903
1040,904
1050,905
1060,906
1070,907
1080,908
1090,909
1100,910
1110,911
1120,912
1130,913
1140,319
1140,321
1140,914
1150,915
1160,916
1170,321
1170,917
1180,918
1190,321
1190,919
1200,920
1210,312
1210,921
1220,922
1230,317
1230,923
1300,307
2000,312
2002,312
2003,312
2004,312
2011,312
2013,310
2014,310
2020,310
2022,310
2023,310
2024,310
2031,310
2032,310
2032,312
2032,316
2033,310
2034,316
2041,310
2042,310
2051,310
2052,310
2053,310
2054,310
2061,310
2062,310
2063,316
2064,316
2070,310
2073,310
2074,310
2081,310
2081,311
2082,310
2083,310
2084,311
2091,311
2092,310
2093,311
2094,311
2094,322
2095,311
2095,322
2100,312
2102,312
2103,312
2104,312
2105,312
2111,312
2112,312
2112,316
2113,312
2114,312
2114,316
2115,312
2115,316
2116,312
2116,316
2120,316
2122,316
2123,316
2124,316
2125,316
2126,316
2130,316
2132,316
2133,316
2134,316
2135,316
2136,316
2141,316
2143,316
2144,316
2145,316
2151,316
2152,316
2153,316
2154,316
2161,316
2162,316
2163,316
2164,316
2165,316
2170,316
2171,316
2172,316
2181,308
2182,308
2183,308
2184,308
2185,308
2185,316
2191,316
2192,316
2193,316
2201,312
2202,312
2203,316
2211,316
2212,316
2213,316
2214,308
2215,308
2221,308
2222,308
2223,308
2223,316
2224,308
2225,308
2230,308
2231,308
2231,316
2232,308
2241,308
2242,308
2243,308
2244,308
2245,308
2251,308
2252,308
2253,308
2261,308
2262,308
2263,308
2264,308
2265,308
2272,308
2273,308
2274,316
2275,316
2276,316
2280,308
2281,308
2282,308
2283,308
2284,308
2285,308
2286,308
2291,308
2292,308
2293,308
2294,308
2295,308
2301,308
2301,900
2304,308
2305,308
2320,307
2322,307
2325,307
2326,307
2331,317
2332,317
2333,307
2334,317
2340,317
2344,317
2345,317
2351,317
2352,317
2353,317
2361,317
2362,317
2371,317
2372,317
2380,317
2381,317
2381,319
2384,317
2391,317
2392,317
2393,317
2401,307
2402,307
2403,307
2404,307
2405,307
2410,307
2412,307
2413,107
2413,307
2421,107
2422,107
2423,107
2424,107
2425,107
2431,307
2432,307
2433,307
2434,307
2435,307
2440,306
2440,307
2441,306
2441,307
2442,306
2443,103
2443,306
2444,306
2451,307
2452,306
2452,307
2453,307
2454,307
2460,107
2460,307
2462,107
2462,307
2463,307
2464,307
2465,307
2471,107
2471,307
2472,307
2473,107
2473,307
2474,107
2475,107
2481,317
2482,317
2483,306
2485,103
2485,306
2486,306
2490,323
2491,103
2491,323
2492,323
2493,323
2500,306
2504,306
2511,306
2512,306
2514,306
2521,306
2522,306
2523,306
2524,306
2525,306
2531,317
2532,306
2533,306
2533,319
2534,306
2540,306
2542,306
2544,306
2551,306
2552,306
2560,306
2563,306
2564,306
2565,306
2571,306
2572,306
2572,314
2601,323
2602,306
2602,323
2603,323
2604,323
2620,318
2624,318
2625,318
2630,318
2631,318
2632,318
2640,318
2641,318
2650,318
2651,318
2661,318
2662,318
2663,314
2663,323
2671,318
2673,318
2680,318
2680,621
2700,304
2700,323
2721,323
2722,323
2723,323
2724,318
2724,323
2731,318
2731,323
2732,318
2733,318
2734,318
2751,304
2751,323
2752,304
2752,323
2753,323
2754,323
2755,323
2761,318
2761,323
2763,323
2770,323
2801,323
2802,323
2803,323
2811,323
2812,108
2812,323
2813,318
2813,323
2821,323
2822,318
2822,323
2823,318
2823,323
2824,318
2831,318
2832,318
2833,318
2833,323
2840,318
2842,318
2842,323
2851,318
2851,323
2852,109
2852,318
2852,323
2852,622
2853,323
2860,323
2870,318
2870,622
2871,318
2871,323
2871,622
2872,318
2872,622
2873,318
2880,318
2881,318
3001,319
3001,321
3002,319
3003,319
3004,319
3004,321
3011,319
3012,319
3013,319
3021,319
3031,319
3032,319
3033,306
3033,319
3034,319
3040,319
3041,319
3041,321
3042,321
3051,319
3052,319
3053,306
3053,319
3061,319
3062,319
3071,319
3072,319
3073,319
3074,319
3100,302
3104,302
3104,319
3105,302
3107,302
3110,319
3121,319
3122,313
3122,315
3122,319
3123,319
3124,319
3125,319
3130,319
3131,319
3133,319
3134,319
3140,302
3140,319
3141,319
3142,319
3143,319
3144,319
3150,314
3150,319
3151,302
3153,314
3160,314
3161,314
3162,314
3163,314
3170,314
3171,314
3172,314
3180,314
3182,314
3183,314
3184,314
3192,314
3193,314
3195,314
3200,319
3202,319
3203,315
3203,319
3204,315
