,artist,track,timestamp,artist_id,track_id
0,Drake,Jimmy Cooks (feat. 21 Savage),1683815169,3TVXtAsR1Inumwj472S9r4,3F5CgOj3wFlRv51JsHbxhe
1,Southside,Hold That Heat (feat. Travis Scott),1683814948,23DYJsw4uSCguIqiTIDtcN,6OrTKLtcF7EBayOV2QqkSK
2,A$AP Ant,Pudge Rodriguez,1683814627,45m1IiS45uD1HcPlYkNWKj,1p0fG2qsRTz5axiF0UEoMc
3,Denzel Curry,Walkin - Key Glock remix,1683814400,6fxyWrfmjcbj5d12gXeiNV,5GJS3CY3aqbT9j2lv434aQ
4,Baby Keem,family ties (with Kendrick Lamar),1683813989,5SXuuuRpukkTvsLuUknva1,3QFInJAm9eyaho5vBzxInN
5,J-Tek,Tim Duncan,1683813872,1lSGNvxefF3baOOG9mQtUj,0ReYguSkVDkCaHioRnladI
6,JID,Dance Now (feat. Kenny Mason),1683813645,6U3ybJ9UHNKEdsH7ktGBZ7,2WrldKXSBVbNNm3A9vJryi
7,Quavo,HOTEL LOBBY (Unc & Phew),1683813501,0VRj0yCOv2FXJNP47XQnx5,4vVjPTApwXZwB2H3mBq3ml
8,Drake,Nonstop,1683813262,3TVXtAsR1Inumwj472S9r4,0TlLq3lA83rQOYtrqBqSct
9,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],1683813079,0iEtIxbK0KxaSlF7G42ZOp,0vjeOZ3Ft5jvAi9SBFJm1j
10,Future,712PM,1683812905,1RyvyyTE3xzB2ZywiAwp0i,3FSwpQ9dBZBeBV6UdYHI2R
11,West,Euro$tep,1683812757,0rCFX1FVZ9ulGM0uZm37tN,1M0ksKzSWyU756Vkdn148v
12,21 Savage,Glock In My Lap,1683812563,1URnnhqYAYcrqrcwql10ft,6pcywuOeGGWeOQzdUyti6k
13,A$AP Rocky,Shittin' Me,1683812418,13ubrt8QOOCPljQ2FL1Kca,31UJ8vd4JQc1JEa7TgcDSz
14,Denzel Curry,Sanjuro,1683812014,6fxyWrfmjcbj5d12gXeiNV,1iBZqPmS2HjeTm9oRtvwqT
15,Baby Keem,trademark usa,1683811564,5SXuuuRpukkTvsLuUknva1,15hJmqqEtASVXl6sM7i4UF
16,Lil Baby,Freestyle,1683811402,5f7VJjfbwm532GiveGC0ZK,5BbdKBZO0TH0GhfxUfyhL9
17,Pharrell Williams,Cash In Cash Out,1683811185,2RdwBSPQiwcmiDo9kixcl8,3S68RFe1lsdCdTMPIMJM3X
18,Future,I'M ON ONE (feat. Drake),1683810948,,
19,Travis Scott,Escape Plan,1683810799,0Y5tJX1MQlPlqiwlOH1tJY,4R67rQNSbbsR4TdUVOIdez
20,Kendrick Lamar,N95,1683810602,2YZyLoL8N0Wb9xBt1NhZWg,0fX4oNGBWO3dSGUZcVdVV2
21,A$AP Rocky,Praise the Lord (Da Shine) (feat. Skepta),1683810396,13ubrt8QOOCPljQ2FL1Kca,7ycWLEP1GsNjVvcjawXz3z
22,Pop Smoke,Bout a Million (feat. 42 Dugg & 21 Savage),1683810192,0eDvMgVFoNV3TpwtrVCoTj,4LaGu95Ui2s4vprSQYWUAZ
23,21 Savage,Runnin,1683809995,1URnnhqYAYcrqrcwql10ft,5SWnsxjhdcEDc7LJjq9UHk
24,Smiley,Over The Top (feat. Drake),1683809841,6jeg7JBX9J9097esK752iR,22ruOqBqBRiZDiXFud4OXa
25,Tory Lanez,Broke In A Minute,1683809709,2jku7tDXc6XoB6MO2hFuqg,4xqIYGwwZTEem9U8A42SPF
26,Quavo,HOTEL LOBBY (Unc & Phew) - A COLORS SHOW,1683809543,0VRj0yCOv2FXJNP47XQnx5,1qA7crrPzO702kDZgRAhyk
27,Quavo,To The Bone (feat. YoungBoy Never Broke Again),1683809261,0VRj0yCOv2FXJNP47XQnx5,4wRJHXHDJnKSPr9IVn0BFR
28,Konsumo Respeto,Ahora que se ha ido el sol,1683809132,1RmcjyvKHwr9TCZqfHMflP,2x8qGL9oZApsPk8mhA7iVU
29,Bad Religion,Sorrow,1683808587,2yJwXpWAQOOl5XFzbCxLs9,5KiS8SFnu21xI74mHgfZ3D
30,Molotov,Noko,1683808376,27Owkm4TGlMqb0BqaEt3PW,77nDjrvOv4usESalvVj42G
31,Pennywise,Revolution,1683808170,6i0KVTOvm96T55mbp742ks,2DDDzxzFpgTQx4AEKRO3zz
32,Ten Foot Pole,Never Look Back,1683808029,27HBzx6Ox43GPbWLECgbFW,4ZrJC62tNvsWfeTIiEgvR5
33,No Fun at All,Beachparty,1683807894,6usO1o98RY3cUWxqaQxi8O,632nnVtR4LsfEe15UqlsWC
34,Deviates,Come With Me,1683807370,1p7lC98Z2FgdEYy3iBi8X8,4SXItFYrS91g1oqwJVMYek
35,Pennywise,Unknown Road - Live,1683807237,6i0KVTOvm96T55mbp742ks,1HS2llSesycezF5jixwpXo
36,Green Day,Longview,1683807004,7oPftvlwr6VrsViSDV7fJY,3LRJbFT9rKoKv4aW7PuBJC
37,Kotzreiz,Berlin,1683806445,0mDsNc0R332w0fD6CpSBc3,5KLo6A1USU6Od7dskSpTIL
38,Konsumo Respeto,Una nueva vida,1683805768,1RmcjyvKHwr9TCZqfHMflP,3KYoNUxlHqPxIQu7m1nZe3
39,Bad Religion,21st Century (Digital Boy),1683805598,2yJwXpWAQOOl5XFzbCxLs9,7C794YeXiiSdlvGLxgabkd
40,Guttermouth,Hit Machine,1683805479,2zIenWuthqTgWumViRZCZV,0qmQeLgkmNN8PhD2q99Jo7
41,Dramarama,"Anything, Anything",1683805074,0jyR47SLnL38FWQPPSth1v,7qAfN3OAhDcwAhGe9Nq7Mi
42,Soziedad Alkoholika,"Cuando Nada, Vale Nada",1683804961,2S5OOMthdyp3Qu4IbTGAQ3,3YjhWiGHlxelJM6Lv28IBm
43,Rise Against,Tip the Scales,1683804556,6Wr3hh341P84m3EI8qdn9O,2jZuyqEiL1zcTEQOjjvQmx
44,Billy Talent,Rusted From the Rain,1683804188,08yf5A2nS4XEeNvabDXqyg,0tzWCL2uhb2xQDWgG259nU
45,Konsumo Respeto,Un par de alas,1683804032,1RmcjyvKHwr9TCZqfHMflP,1AXNmE1TycSfgWFSq6h8un
46,Polkageist,Esmerim Bicim Bicim,1683803806,6gaKCYAvHEBhqQycM4NymR,5AAsire9XdBm0eAMALTtXv
47,Rise Of The Northstar,Welcame (Furyo State of Mind),1683803546,5vDfbSPkurKQxpVVXALJ4K,0YqN3VB5yW6YiVjKgptaL7
48,Konsumo Respeto,LA CIUDAD SIN NOMBRE,1683803389,1RmcjyvKHwr9TCZqfHMflP,1EhoU4ajZeTDASxKPN2xJb
49,PXNDX,procedimientos para llegar a un común acuerdo,1683803195,5NNlkZBrBpOJ7C11JwVxIj,4V1qXC1U9FIW8dBXXFIrCC
50,Loikaemie,Good Night White Pride,1683803054,0YIATkESTafhdCgTR2ZHuj,7n9lWWnSUIJ7vVBITgjmWH
51,Bad Religion,Sorrow,1683802852,2yJwXpWAQOOl5XFzbCxLs9,5KiS8SFnu21xI74mHgfZ3D
52,Social Distortion,Don't Drag Me Down,1683802621,,
53,JAY-Z,F*ckwithmeyouknowigotit,1683802377,3nFkdlSjzX9mRTtwJOzDYB,3PBC860LAeS4utDAqlqIe2
54,Antillectual,Mother Inferior,1683802274,1Z2XrFvat8f47ZaRfjTgZL,1HzgPdRRAOuBf2iFdR29uJ
55,The Offspring,Have You Ever,1683802036,5LfGQac0EIXyAN8aUwmNAQ,2fIpea5Sh5celp8JRI7Z4U
56,Pennywise,Watch Me as I Fall,1683801625,6i0KVTOvm96T55mbp742ks,42rufs9XRSk8KzkRFsCOxN
57,Molotov,Dance And Dense Denso,1683801513,27Owkm4TGlMqb0BqaEt3PW,6IfMZeHEN9c7szM9OwGzYe
58,Bad Religion,Along The Way,1683801416,2yJwXpWAQOOl5XFzbCxLs9,0jl2DpwuQ2ZDBsUI4blDhr
